HouseNumber,Address,City,State,Country,PostCode,County,Latitude,Longitude
140,Millstone Brook Rd,Southold,NY,United States,11968-2243,Suffolk,40.9214,-72.426
0,Burnt Bridge Rd,New Egypt,NJ,United States,08533-1826,Burlington,40.0214,-74.526
42,Cathyann Ct,Preakness,NJ,United States,07470-3073,Essex,40.9214,-74.226
4,Settlers Rd,Stockholm,NJ,United States,07461-4511,Sussex,41.2214,-74.526
968,Old Post Rd,Greenwich,NY,United States,10506-1216,Westchester,41.2214,-73.626
59,Riverwood Dr,Lakewood,NJ,United States,08755-1221,Ocean,40.0214,-74.226
5112,Ave M,Brooklyn,NY,United States,11234-3826,Kings,40.6214,-73.926
156,Plainsboro Rd,Hightstown,NJ,United States,08512-2604,Middlesex,40.3214,-74.526
37,W Lake Shore Dr,Stockholm,NJ,United States,07866-1024,Morris,40.9214,-74.526
42,Cathyann Ct,Preakness,NJ,United States,07470-3073,Essex,40.9214,-74.226
0,Henry Hudson Dr,Alpine,NJ,United States,07670-1142,Bronx,40.9214,-73.926
25,Old Redding Rd,Crab Meadow,CT,United States,06883-2608,Fairfield,41.2214,-73.326
2,Oceanside Ct,Crab Meadow,NY,United States,11768-1301,Suffolk,40.9214,-73.326
59,Riverwood Dr,Lakewood,NJ,United States,08755-1221,Ocean,40.0214,-74.226
0,Goshen Rd,Elm,NJ,United States,08089-1934,Camden,39.7214,-74.826
0,,Tremley,NJ,United States,07036-3564,Richmond,40.6214,-74.226
5112,Ave M,Brooklyn,NY,United States,11234-3826,Kings,40.6214,-73.926
429,Loyal Ledge Ln,Branford,CT,United States,06437-3134,New Haven,41.2214,-72.726
0,Henry Hudson Dr,Alpine,NJ,United States,07670-1142,Bronx,40.9214,-73.926
1250,Long Meadow Rd,Maybrook,NY,United States,10987-3500,Rockland,41.2214,-74.226
2,Oceanside Ct,Crab Meadow,NY,United States,11768-1301,Suffolk,40.9214,-73.326
43,Nantrin Ter,Orange,CT,United States,06460-6741,New Haven,41.2214,-73.026
0,,Amagansett,NY,United States,11937-8438,Suffolk,40.9214,-72.126
0,,Fire Island Pines,NY,United States,11782-9994,Suffolk,40.6214,-73.026
3795,Mahlon Brower Dr,Oceanside,NY,United States,11572-5950,Nassau,40.6214,-73.626
55,Stevenson Dr,Jerseyville,NJ,United States,07746-2720,Monmouth,40.3214,-74.226
38,Old Mountain Rd,Lebanon,NJ,United States,08833-4200,Hunterdon,40.6214,-74.826
99,Aleisha Ln,Mount Sinai,NY,United States,11776-2104,Suffolk,40.9214,-73.026
0,,Chatsworth,NJ,United States,08019-2006,Burlington,39.7214,-74.526
0,Flying Point Rd,Sagaponack,NY,United States,11976-3515,Suffolk,40.6214,-72.126
3795,Mahlon Brower Dr,Oceanside,NY,United States,11572-5950,Nassau,40.6214,-73.626
99,Aleisha Ln,Mount Sinai,NY,United States,11776-2104,Suffolk,40.9214,-73.026
0,Rd C,Southampton,NY,United States,11968-4511,Suffolk,40.3214,-72.126
0,,Fire Island Pines,NY,United States,11782-9994,Suffolk,40.6214,-73.026
0,,Eastport,NY,United States,11933-1314,Suffolk,40.9214,-72.726
0,Ocean State Pkwy,Oak Island,NY,United States,11702-4626,Suffolk,40.6214,-73.326
0,Flying Point Rd,Sagaponack,NY,United States,11976-3515,Suffolk,40.6214,-72.126
0,,Eastport,NY,United States,11933-1314,Suffolk,40.9214,-72.726
140,Millstone Brook Rd,Southold,NY,United States,11968-2243,Suffolk,40.9214,-72.426
0,,Amagansett,NY,United States,11937-8438,Suffolk,40.9214,-72.126
13,Maple Ln,Swartswood,NJ,United States,07826-5064,Sussex,41.2214,-74.826
156,Plainsboro Rd,Hightstown,NJ,United States,08512-2604,Middlesex,40.3214,-74.526
55,Stevenson Dr,Jerseyville,NJ,United States,07746-2720,Monmouth,40.3214,-74.226
553,Alphano Rd,Greendell,NJ,United States,07838-2511,Warren,40.9214,-74.826
3,Eastland Dr,Lattingtown,NY,United States,11542-1003,Fairfield,40.9214,-73.626
37,W Lake Shore Dr,Stockholm,NJ,United States,07866-1024,Morris,40.9214,-74.526
-12,Point Rd,Fenwick,CT,United States,06475-2717,Middlesex,41.2214,-72.426
124,Mt Horeb Rd,Millington,NJ,United States,07059-5527,Somerset,40.6214,-74.526
0,,Tremley,NJ,United States,07036-3564,Richmond,40.6214,-74.226
25,Old Redding Rd,Crab Meadow,CT,United States,06883-2608,Fairfield,41.2214,-73.326
43,Nantrin Ter,Orange,CT,United States,06460-6741,New Haven,41.2214,-73.026
429,Loyal Ledge Ln,Branford,CT,United States,06437-3134,New Haven,41.2214,-72.726
-12,Point Rd,Fenwick,CT,United States,06475-2717,Middlesex,41.2214,-72.426
-8766,N Rd,Southampton,NY,United States,11968-5125,Suffolk,40.0214,-71.826
39,Cortlandt St,Crugers,NY,United States,10520-1418,Westchester,41.2214,-73.926
152,Taylor Ln,Barnegat,NJ,United States,08005-2318,Ocean,39.7214,-74.226
0,Valentine St,Monmouth Beach,NJ,United States,07750-1377,Monmouth,40.3214,-73.926
0,K Rd,Quogue,NY,United States,11946-1531,Suffolk,40.6214,-72.426
0,,Davis Park,NY,United States,11772-2416,Suffolk,40.3214,-72.726
0,Fire Island Beach Rd,Smith Point,NY,United States,11978-2950,Suffolk,40.6214,-72.726
0,K Rd,Quogue,NY,United States,11946-1531,Suffolk,40.6214,-72.426
255,Tompkins Rd,Maybrook,NY,United States,12549-1637,Orange,41.5214,-74.226
0,,Ocean Bay Park,NY,United States,11770-2053,Suffolk,40.3214,-73.026
0,Dune Rd,Smith Point,NY,United States,11978-2950,Suffolk,40.0214,-72.426
100,Downer Ave,Mantoloking,NJ,United States,08738-1600,Ocean,40.0214,-73.926
0,Central Ave,Barnegat Light,NJ,United States,08006-1593,Ocean,39.7214,-73.926
0,Fire Island Beach Rd,Smith Point,NY,United States,11978-2950,Suffolk,40.6214,-72.726
3,Eastland Dr,Lattingtown,NY,United States,11542-1003,Fairfield,40.9214,-73.626
0,,Fire Island Pines,NY,United States,11782-9993,Suffolk,40.0214,-72.726
0,,Washington Depot,CT,United States,06783-1600,Fairfield,41.5214,-73.326
0,Ocean State Pkwy,Oak Island,NY,United States,11702-4626,Suffolk,40.6214,-73.326
0,,West Hampton Dunes,NY,United States,11978-3004,Suffolk,39.7214,-72.126
0,,Montauk,NY,United States,11954-9619,Suffolk,40.9214,-71.826
4,Settlers Rd,Stockholm,NJ,United States,07461-4511,Sussex,41.2214,-74.526
1250,Long Meadow Rd,Maybrook,NY,United States,10987-3500,Rockland,41.2214,-74.226
94,Greenhill Dr,Glenham,NY,United States,12524-1934,Putnam,41.5214,-73.926
56,Trowbridge Rd,Centerbrook,CT,United States,06469-1235,Middlesex,41.5214,-72.426
39,Cortlandt St,Crugers,NY,United States,10520-1418,Westchester,41.2214,-73.926
35,Louis Rd,East Berlin,CT,United States,06455-1108,Middlesex,41.5214,-72.726
0,Boardwalk,Lido Beach,NY,United States,11561-4685,Nassau,40.3214,-73.626
968,Old Post Rd,Greenwich,NY,United States,10506-1216,Westchester,41.2214,-73.626
0,Rd B,Beach Hampton,NY,United States,11937-8413,Suffolk,40.3214,-71.826
124,Mt Horeb Rd,Millington,NJ,United States,07059-5527,Somerset,40.6214,-74.526
0,,Fishers Island,CT,United States,06385-3708,Suffolk,41.2214,-72.126
91,Harmony Rd,Brewster,NY,United States,12563-2729,Putnam,41.5214,-73.626
0,New Jersey Tpke,Westampton,NJ,United States,08060-3833,Philadelphia,40.0214,-74.826
0,Valentine St,Monmouth Beach,NJ,United States,07750-1377,Monmouth,40.3214,-73.926
0,Burnt Bridge Rd,New Egypt,NJ,United States,08533-1826,Burlington,40.0214,-74.526
133,Wawecus Hill Rd,Yantic,CT,United States,06360-4061,New London,41.5214,-72.126
100,Downer Ave,Mantoloking,NJ,United States,08738-1600,Ocean,40.0214,-73.926
0,,Fishers Island,CT,United States,06385-3708,Suffolk,41.2214,-72.126
0,,Waterbury,CT,United States,06706-2737,New Haven,41.5214,-73.026
0,Central Ave,Barnegat Light,NJ,United States,08006-1593,Ocean,39.7214,-73.026
284,Gallup Rd,Westerly,CT,United States,06384-2309,Washington,41.5214,-71.826
0,Sussex Ave,Wall,NJ,United States,07762-1273,Ocean,40.0214,-73.326
0,Sussex Ave,Wall,NJ,United States,07762-1273,Ocean,40.0214,-73.326
-40,Boardwalk,Mantoloking,NJ,United States,08742-32ND,Ocean,40.0214,-73.626
0,Marlin Dr,Beach Hampton,NY,United States,11930-2390,Suffolk,40.6214,-71.826
0,,Davis Park,NY,United States,11772-2416,Suffolk,40.3214,-72.726
0,Boardwalk,Lido Beach,NY,United States,11561-4685,Nassau,40.3214,-73.626
